datetime,tempmax,tempmin,conditions,precip
2024-05-15,16.2,12.5,"Rain, Partially cloudy",1.395
2024-05-16,14.9,11.8,"Rain, Partially cloudy",11.984
2024-05-17,15.4,10.8,"Rain, Partially cloudy",0.199
2024-05-18,15.2,11.6,"Rain, Overcast",5.214
2024-05-19,18.2,12.2,Partially cloudy,0.0
2024-05-20,14.2,11.7,Partially cloudy,0.0
2024-05-21,14.8,11.7,"Rain, Overcast",15.557
2024-05-22,14.6,12.4,"Rain, Overcast",0.004
2024-05-23,15.4,12.3,Partially cloudy,0.0
2024-05-24,15.2,10.8,Partially cloudy,0.0
2024-05-25,18.4,10.0,Partially cloudy,0.0
2024-05-26,17.1,13.2,"Rain, Partially cloudy",6.007
2024-05-27,13.9,12.4,"Rain, Partially cloudy",0.001
2024-05-28,14.6,12.3,"Rain, Overcast",5.396
2024-05-29,15.2,13.1,"Rain, Partially cloudy",1.01
2024-05-30,14.7,12.7,"Rain, Overcast",2.393
2024-05-31,15.1,11.7,"Rain, Overcast",1.804
2024-06-01,14.4,11.4,"Rain, Overcast",0.398
2024-06-02,15.9,11.7,Partially cloudy,0.0
2024-06-03,15.9,10.3,Partially cloudy,0.0
2024-06-04,16.2,13.3,Overcast,0.0
2024-06-05,15.2,11.1,Partially cloudy,0.0
2024-06-06,15.2,10.6,Partially cloudy,0.0
2024-06-07,15.4,11.6,Partially cloudy,0.0
2024-06-08,15.4,12.6,"Rain, Partially cloudy",0.199
2024-06-09,15.6,10.9,Partially cloudy,0.0
2024-06-10,14.3,11.4,"Rain, Partially cloudy",1.803
2024-06-11,14.6,9.1,Partially cloudy,0.0
2024-06-12,14.9,10.8,"Rain, Overcast",1.995
2024-06-13,16.4,9.6,"Rain, Partially cloudy",0.202
2024-06-14,16.7,10.7,"Rain, Overcast",4.188
2024-06-15,15.2,11.9,"Rain, Overcast",4.015
2024-06-16,15.4,12.7,"Rain, Partially cloudy",5.007
2024-06-17,17.1,13.6,Partially cloudy,0.0
2024-06-18,16.9,14.3,"Rain, Overcast",3.399
2024-06-19,17.7,12.9,Partially cloudy,0.0
2024-06-20,19.9,12.2,Partially cloudy,0.0
2024-06-21,17.7,13.3,Partially cloudy,0.0
2024-06-22,16.7,13.9,"Rain, Overcast",0.003
2024-06-23,17.9,13.8,"Rain, Partially cloudy",0.199
2024-06-24,22.1,12.1,Rain,0.199
2024-06-25,25.1,18.1,Clear,0.0
2024-06-26,26.5,16.6,Partially cloudy,0.0
2024-06-27,19.7,15.4,Partially cloudy,0.0
2024-06-28,17.1,14.4,Partially cloudy,0.0
2024-06-29,17.9,11.5,Partially cloudy,0.0
2024-06-30,18.2,14.1,"Rain, Partially cloudy",0.212
2024-07-01,17.2,13.2,"Rain, Overcast",1.397
2024-07-02,16.2,13.9,"Rain, Overcast",0.6
2024-07-03,16.2,13.1,"Rain, Overcast",0.217
2024-07-04,16.4,14.6,"Rain, Partially cloudy",0.199
2024-07-05,17.4,14.2,"Rain, Overcast",0.219
2024-07-06,17.8,14.4,"Rain, Partially cloudy",0.222
2024-07-07,16.2,13.6,"Rain, Partially cloudy",0.007
2024-07-08,18.4,14.3,"Rain, Overcast",0.001
2024-07-09,19.8,15.9,"Rain, Overcast",0.21
2024-07-10,18.6,15.6,"Rain, Partially cloudy",0.995
2024-07-11,17.7,15.1,Partially cloudy,0.0
2024-07-12,17.6,13.5,"Rain, Overcast",0.032
2024-07-13,18.0,12.0,"Rain, Partially cloudy",0.412
2024-07-14,18.8,12.5,Partially cloudy,0.0
2024-07-15,23.3,12.0,"Rain, Partially cloudy",0.604
2024-07-16,17.2,15.7,"Rain, Overcast",2.435
2024-07-17,19.7,15.7,Partially cloudy,0.0
2024-07-18,25.1,16.3,Partially cloudy,0.0
2024-07-19,27.9,21.0,Partially cloudy,0.0
2024-07-20,21.7,16.4,Partially cloudy,0.0
2024-07-21,19.2,16.7,Partially cloudy,0.0
2024-07-22,18.4,15.8,Partially cloudy,0.0
2024-07-23,18.7,16.7,"Rain, Overcast",0.206
2024-07-24,20.3,14.5,Partially cloudy,0.0
2024-07-25,18.7,16.0,"Rain, Overcast",5.401
2024-07-26,18.4,15.7,"Rain, Partially cloudy",0.4
2024-07-27,18.4,15.5,Partially cloudy,0.0
2024-07-28,23.1,15.3,Clear,0.0
2024-07-29,28.8,16.6,Clear,0.0
2024-07-30,30.3,21.1,Clear,0.0
2024-07-31,27.6,20.1,"Rain, Partially cloudy",0.002
2024-08-01,24.1,18.7,"Rain, Partially cloudy",29.963
2024-08-02,21.6,17.4,Partially cloudy,0.0
2024-08-03,18.7,17.2,"Rain, Overcast",11.378
2024-08-04,19.6,16.1,Partially cloudy,0.0
2024-08-05,22.6,16.0,Clear,0.0
2024-08-06,21.4,15.3,"Rain, Partially cloudy",0.399
2024-08-07,18.9,14.9,"Rain, Partially cloudy",0.998
2024-08-08,19.6,16.8,"Rain, Overcast",0.001
2024-08-09,19.7,17.2,"Rain, Overcast",0.003
2024-08-10,19.6,17.0,Partially cloudy,0.0
2024-08-11,28.3,16.3,Partially cloudy,0.0
2024-08-12,31.5,18.9,Partially cloudy,0.0
2024-08-13,18.7,17.5,Partially cloudy,0.0
2024-08-14,21.2,17.5,Partially cloudy,0.0
2024-08-15,19.9,17.4,Partially cloudy,0.0
2024-08-16,20.5,18.1,"Rain, Overcast",6.397
2024-08-17,19.7,16.6,Partially cloudy,0.0
2024-08-18,19.1,15.7,Partially cloudy,0.0
2024-08-19,19.2,14.1,Partially cloudy,0.0
2024-08-20,18.9,16.0,"Rain, Partially cloudy",0.82
2024-08-21,18.4,14.9,Partially cloudy,0.0
2024-08-22,20.2,15.3,Partially cloudy,0.0
2024-08-23,20.2,16.8,Partially cloudy,0.0
2024-08-24,21.9,15.7,"Rain, Overcast",10.205
2024-08-25,17.9,14.9,"Rain, Partially cloudy",0.199
2024-08-26,18.9,15.6,"Rain, Partially cloudy",0.6
2024-08-27,23.2,14.0,Clear,0.0
2024-08-28,26.6,18.1,Partially cloudy,0.0
2024-08-29,21.8,16.7,Partially cloudy,0.0
2024-08-30,22.1,15.2,Partially cloudy,0.0
2024-08-31,22.1,16.2,"Rain, Partially cloudy",0.807
2024-09-01,29.6,17.6,"Rain, Partially cloudy",0.2
2024-09-02,21.1,18.1,Partially cloudy,0.0
2024-09-03,19.4,17.2,"Rain, Partially cloudy",0.4
2024-09-04,19.6,15.7,"Rain, Partially cloudy",0.205
2024-09-05,19.7,15.6,"Rain, Overcast",19.946
2024-09-06,17.4,15.1,"Rain, Overcast",7.396
2024-09-07,22.0,14.7,"Rain, Partially cloudy",0.003
2024-09-08,18.0,14.1,"Rain, Overcast",29.332
2024-09-09,16.4,14.6,"Rain, Overcast",0.419
2024-09-10,17.1,13.8,"Rain, Partially cloudy",10.188
2024-09-11,15.4,11.1,"Rain, Partially cloudy",6.414
2024-09-12,14.6,9.9,"Rain, Partially cloudy",0.218
2024-09-13,16.2,9.9,"Rain, Partially cloudy",4.601
2024-09-14,16.6,8.8,"Rain, Partially cloudy",0.001
2024-09-15,16.9,9.8,Partially cloudy,0.0
2024-09-16,18.9,14.1,"Rain, Partially cloudy",0.2
2024-09-17,18.9,13.5,Partially cloudy,0.0
2024-09-18,20.6,14.7,Partially cloudy,0.0
2024-09-19,22.7,14.9,Partially cloudy,0.0
2024-09-20,21.6,14.2,"Rain, Partially cloudy",0.199
2024-09-21,24.0,17.1,Partially cloudy,0.0
2024-09-22,20.3,16.7,"Rain, Overcast",1.212
2024-09-23,17.4,13.6,"Rain, Partially cloudy",8.602
2024-09-24,15.9,12.3,"Rain, Partially cloudy",0.404
2024-09-25,15.9,12.9,"Rain, Overcast",21.146
2024-09-26,18.9,14.6,"Rain, Overcast",14.788
2024-09-27,14.8,11.3,"Rain, Overcast",20.286
2024-09-28,13.7,9.2,Partially cloudy,0.0
2024-09-29,15.1,5.4,Partially cloudy,0.0
2024-09-30,15.7,10.4,"Rain, Overcast",11.382
2024-10-01,14.4,12.4,"Rain, Overcast",4.203
2024-10-02,15.8,9.9,"Rain, Overcast",1.2
2024-10-03,14.7,9.4,Partially cloudy,0.0
2024-10-04,16.3,8.6,Partially cloudy,0.0
2024-10-05,17.5,8.6,Partially cloudy,0.0
2024-10-06,15.4,10.3,"Rain, Overcast",0.001
2024-10-07,17.4,14.2,"Rain, Overcast",0.2
2024-10-08,18.4,12.7,"Rain, Partially cloudy",0.008
2024-10-09,15.0,13.3,"Rain, Overcast",0.007
2024-10-10,13.8,9.1,"Rain, Overcast",2.674
2024-10-11,13.1,4.8,"Rain, Partially cloudy",0.065
2024-10-12,14.0,7.3,"Rain, Overcast",1.597
2024-10-13,11.6,8.9,Partially cloudy,0.0
2024-10-14,11.6,8.9,"Rain, Overcast",7.213
2024-10-15,17.3,10.9,Overcast,0.0
2024-10-16,23.1,15.0,"Rain, Partially cloudy",0.009
2024-10-17,17.2,14.1,"Rain, Overcast",18.97
2024-10-18,16.1,13.4,"Rain, Partially cloudy",0.403
2024-10-19,14.7,10.6,"Rain, Partially cloudy",0.599
2024-10-20,17.1,10.6,"Rain, Overcast",1.198
2024-10-21,15.3,11.4,"Rain, Overcast",12.98
2024-10-22,15.7,10.8,"Rain, Partially cloudy",3.59
2024-10-23,16.3,10.6,"Rain, Partially cloudy",2.99
2024-10-24,16.1,9.1,Partially cloudy,0.0
2024-10-25,19.1,12.3,"Rain, Partially cloudy",0.4
2024-10-26,14.9,12.0,"Rain, Partially cloudy",0.199
2024-10-27,14.7,10.1,"Rain, Partially cloudy",0.199
2024-10-28,15.4,12.1,Overcast,0.0
2024-10-29,14.6,12.7,"Rain, Overcast",1.21
2024-10-30,14.9,12.3,"Rain, Overcast",0.199
2024-10-31,16.8,10.9,Partially cloudy,0.0
2024-11-01,11.4,10.3,Overcast,0.0
2024-11-02,12.1,10.9,Overcast,0.0
2024-11-03,11.7,9.8,Overcast,0.0
2024-11-04,11.6,7.6,"Rain, Partially cloudy",0.199
2024-11-05,9.4,6.6,"Rain, Overcast",0.199
2024-11-06,12.0,9.7,Overcast,0.0
2024-11-07,11.4,7.4,Overcast,0.0
2024-11-08,7.6,6.1,Overcast,0.0
2024-11-09,10.3,6.6,Overcast,0.0
2024-11-10,10.1,7.7,"Rain, Overcast",0.399
2024-11-11,12.3,10.3,"Rain, Partially cloudy",0.199
2024-11-12,12.1,7.6,"Rain, Partially cloudy",2.991
2024-11-13,11.9,5.3,Partially cloudy,0.0
2024-11-14,11.9,8.1,"Rain, Overcast",0.2
2024-11-15,10.6,8.9,"Rain, Overcast",1.996
2024-11-16,12.5,7.8,"Rain, Overcast",0.017
2024-11-17,11.6,8.9,"Rain, Overcast",0.401
2024-11-18,11.1,7.9,"Rain, Partially cloudy",7.3
2024-11-19,13.4,5.0,"Rain, Overcast",20.3
2024-11-20,6.7,3.2,Partially cloudy,0.0
2024-11-21,3.9,0.6,Partially cloudy,0.0
2024-11-22,7.9,2.2,"Rain, Partially cloudy",0.069
2024-11-23,12.7,2.1,"Rain, Overcast",2.223
2024-11-24,18.8,12.9,"Rain, Partially cloudy",0.067
2024-11-25,17.9,9.3,"Rain, Partially cloudy",8.404
2024-11-26,10.2,7.3,"Rain, Partially cloudy",13.633
2024-11-27,13.6,7.0,"Rain, Overcast",9.24
2024-11-28,9.0,1.9,Partially cloudy,0.0
2024-11-29,8.1,1.2,"Snow, Rain",0.061
2024-11-30,9.5,4.3,Partially cloudy,0.0
2024-12-01,11.4,4.6,"Rain, Partially cloudy",1.8
2024-12-02,11.9,8.4,"Rain, Partially cloudy",4.191
2024-12-03,8.6,5.3,"Rain, Overcast",0.065
2024-12-04,8.6,4.2,"Rain, Overcast",0.598
2024-12-05,12.6,6.1,"Rain, Overcast",12.789
2024-12-06,10.6,7.7,"Rain, Partially cloudy",0.207
2024-12-07,12.0,7.4,"Rain, Overcast",5.003
2024-12-08,8.7,6.7,"Rain, Overcast",19.948
2024-12-09,8.5,6.2,"Rain, Overcast",0.597
2024-12-10,6.6,4.4,Overcast,0.0
2024-12-11,4.6,3.4,Overcast,0.0
2024-12-12,3.7,2.2,Overcast,0.0
2024-12-13,2.9,0.4,Overcast,0.0
2024-12-14,7.3,2.8,Overcast,0.0
2024-12-15,11.4,7.5,Partially cloudy,0.0
2024-12-16,11.1,9.9,"Rain, Overcast",0.001
2024-12-17,10.0,6.6,"Rain, Overcast",0.399
2024-12-18,13.2,7.4,"Rain, Overcast",3.19
2024-12-19,12.2,6.1,"Rain, Overcast",7.194
2024-12-20,9.6,5.6,"Rain, Partially cloudy",2.013
2024-12-21,11.6,8.1,"Rain, Partially cloudy",2.021
2024-12-22,10.2,6.4,Partially cloudy,0.0
2024-12-23,7.9,5.7,Partially cloudy,0.0
2024-12-24,10.1,6.5,"Rain, Overcast",0.801
2024-12-25,9.9,8.4,"Rain, Overcast",0.199
2024-12-26,8.2,5.1,Overcast,0.0
2024-12-27,5.8,2.3,"Rain, Overcast",0.199
2024-12-28,4.5,1.5,Overcast,0.0
2024-12-29,6.9,2.8,Overcast,0.0
2024-12-30,8.7,5.3,Overcast,0.0
2024-12-31,9.4,2.7,Overcast,0.0
2025-01-01,11.2,5.2,"Rain, Overcast",12.565
2025-01-02,6.2,2.3,"Rain, Partially cloudy",5.258
2025-01-03,5.1,1.8,Clear,0.0
2025-01-04,4.3,0.5,Overcast,0.0
2025-01-05,11.4,0.4,"Snow, Rain, Overcast",20.604
2025-01-06,12.5,5.7,"Rain, Partially cloudy",0.914
2025-01-07,6.5,5.1,"Rain, Partially cloudy",0.413
2025-01-08,5.4,0.4,"Snow, Rain, Partially cloudy",3.339
2025-01-09,4.7,0.4,"Snow, Rain, Partially cloudy",8.95
2025-01-10,5.6,-0.6,Partially cloudy,0.0
2025-01-11,5.1,-0.1,"Rain, Partially cloudy",0.202
2025-01-12,5.5,-0.3,"Snow, Rain, Partially cloudy",0.398
2025-01-13,5.1,-0.2,"Rain, Partially cloudy",0.199
2025-01-14,7.8,-0.4,Partially cloudy,0.0
2025-01-15,8.8,6.6,"Rain, Overcast",0.792
2025-01-16,9.1,3.6,Partially cloudy,0.0
2025-01-17,2.9,0.4,Overcast,0.0
2025-01-18,0.2,-1.3,Overcast,0.0
2025-01-19,1.4,-0.1,Overcast,0.0
2025-01-20,4.5,-0.3,Partially cloudy,0.0
2025-01-21,3.6,-2.4,"Rain, Partially cloudy",0.198
2025-01-22,4.7,2.5,"Rain, Partially cloudy",5.181
2025-01-23,8.4,3.9,"Rain, Partially cloudy",0.806
2025-01-24,9.6,7.2,"Rain, Overcast",3.992
2025-01-25,7.3,4.3,"Rain, Overcast",3.389
2025-01-26,9.1,1.7,"Rain, Partially cloudy",5.368
2025-01-27,10.1,7.9,"Rain, Partially cloudy",7.868
2025-01-28,9.2,7.1,"Rain, Partially cloudy",2.406
2025-01-29,8.5,5.9,"Rain, Partially cloudy",7.66
2025-01-30,6.7,5.6,"Rain, Partially cloudy",6.583
2025-01-31,6.8,3.1,"Rain, Overcast",2.78
2025-02-01,7.1,1.6,Clear,0.0
2025-02-02,7.3,0.1,Clear,0.0
2025-02-03,6.6,0.5,Partially cloudy,0.0
2025-02-04,7.6,4.6,Overcast,0.0
2025-02-05,9.8,2.9,Partially cloudy,0.0
2025-02-06,6.6,2.6,Partially cloudy,0.0
2025-02-07,4.7,2.4,"Rain, Overcast",0.198
2025-02-08,6.8,3.1,"Rain, Partially cloudy",1.391
2025-02-09,6.5,3.4,"Rain, Overcast",0.792
2025-02-10,4.6,0.7,"Snow, Rain, Overcast",5.159
2025-02-11,5.0,2.6,"Rain, Overcast",0.396
2025-02-12,5.8,4.1,Overcast,0.0
2025-02-13,4.9,2.0,Overcast,0.0
2025-02-14,3.7,-1.4,Clear,0.0
2025-02-15,2.7,-0.2,Partially cloudy,0.0
2025-02-16,3.0,-0.9,"Snow, Rain, Partially cloudy",0.198
2025-02-17,4.3,-1.7,Partially cloudy,0.0
2025-02-18,5.6,-0.4,Partially cloudy,0.0
2025-02-19,8.2,1.5,Partially cloudy,0.0
2025-02-20,13.6,7.1,"Rain, Overcast",0.397
2025-02-21,15.9,11.7,"Rain, Overcast",0.198
2025-02-22,12.7,8.4,"Rain, Overcast",17.399
2025-02-23,12.1,6.6,"Rain, Partially cloudy",0.198
2025-02-24,11.3,8.5,"Rain, Partially cloudy",2.592
2025-02-25,9.5,7.1,"Rain, Partially cloudy",0.398
2025-02-26,8.2,5.8,"Rain, Partially cloudy",6.869
2025-02-27,7.5,5.2,"Rain, Partially cloudy",0.003
2025-02-28,7.2,4.3,"Rain, Partially cloudy",0.001
2025-03-01,7.9,2.8,Partially cloudy,0.0
2025-03-02,8.6,1.6,Clear,0.0
2025-03-03,9.0,2.3,Rain,0.198
2025-03-04,10.5,2.8,Clear,0.0
2025-03-05,12.5,3.0,Clear,0.0
2025-03-06,15.1,7.8,Clear,0.0
2025-03-07,17.5,10.1,Partially cloudy,0.0
2025-03-08,17.8,10.6,Partially cloudy,0.0
2025-03-09,18.0,11.1,Partially cloudy,0.0
2025-03-10,15.1,8.2,Partially cloudy,0.0
2025-03-11,7.9,4.4,Partially cloudy,0.0
2025-03-12,6.9,4.3,"Rain, Partially cloudy",1.187
2025-03-13,6.2,2.1,"Rain, Partially cloudy",5.563
2025-03-14,6.4,1.8,"Rain, Partially cloudy",0.797
2025-03-15,6.0,0.9,Partially cloudy,0.0
2025-03-16,7.6,2.6,Partially cloudy,0.0
2025-03-17,7.4,3.5,Partially cloudy,0.0
2025-03-18,11.3,1.8,Clear,0.0
2025-03-19,15.5,7.1,Partially cloudy,0.0
2025-03-20,18.1,10.8,Partially cloudy,0.0
2025-03-21,17.4,12.1,Overcast,0.0
2025-03-22,16.0,12.1,"Rain, Overcast",0.801
2025-03-23,12.3,9.1,"Rain, Partially cloudy",6.338
2025-03-24,10.6,5.8,Partially cloudy,0.0
2025-03-25,8.6,4.8,"Rain, Partially cloudy",0.397
2025-03-26,13.5,7.2,Partially cloudy,0.0
2025-03-27,10.4,5.3,Rain,0.198
2025-03-28,10.4,6.6,"Rain, Overcast",0.199
2025-03-29,9.9,5.5,Clear,0.0
2025-03-30,12.1,8.7,"Rain, Partially cloudy",0.4
2025-03-31,12.3,6.2,Partially cloudy,0.0
2025-04-01,14.1,4.6,Rain,0.001
2025-04-02,16.8,6.8,Clear,0.0
2025-04-03,20.8,10.6,Partially cloudy,0.0
2025-04-04,21.3,14.1,Partially cloudy,0.0
2025-04-05,15.8,8.6,Clear,0.0
2025-04-06,15.5,6.4,Clear,0.0
2025-04-07,14.5,4.6,Clear,0.0
2025-04-08,16.0,6.3,Partially cloudy,0.0
2025-04-09,9.9,5.7,Partially cloudy,0.0
2025-04-10,11.9,6.6,Partially cloudy,0.0
2025-04-11,14.6,4.3,Partially cloudy,0.0
2025-04-12,22.6,11.5,"Rain, Partially cloudy",0.004
2025-04-13,13.7,9.9,"Rain, Overcast",1.399
2025-04-14,14.8,8.3,"Rain, Overcast",0.001
2025-04-15,17.8,10.9,"Rain, Overcast",6.977
2025-04-16,12.5,8.9,Overcast,0.0
2025-04-17,15.3,8.1,Partially cloudy,0.0
2025-04-18,17.8,9.1,Overcast,0.0
2025-04-19,16.5,9.9,Overcast,0.0
2025-04-20,12.0,8.7,"Rain, Overcast",2.38
2025-04-21,10.9,8.3,"Rain, Partially cloudy",0.397
2025-04-22,11.9,9.1,Overcast,0.0
2025-04-23,11.1,7.6,"Rain, Overcast",9.645
2025-04-24,12.1,7.9,Overcast,0.0
2025-04-25,14.3,7.6,Overcast,0.0
2025-04-26,15.1,8.1,Partially cloudy,0.0
2025-04-27,17.3,7.9,"Rain, Partially cloudy",0.198
2025-04-28,20.0,9.8,Partially cloudy,0.0
2025-04-29,22.6,13.1,Partially cloudy,0.0
2025-04-30,22.8,14.1,Partially cloudy,0.0
2025-05-01,26.3,16.6,Partially cloudy,0.0
2025-05-02,20.8,11.7,Partially cloudy,0.0
