name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lille, Hauts-de-France, France",2025-02-15,37.4,25.4,32.4,32.9,17.5,26.9,26.4,79.3,0.004,100,4.17,rain,0,0,17.7,11.3,92.7,1022.8,49.3,5.7,53.6,4.7,3,,2025-02-15T07:59:21,2025-02-15T18:05:11,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06414099999,59580003,D8013,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-16,37.3,29.9,32.9,30.2,21.8,25.6,28.6,84.2,0,0,0,,0,0,18.3,11.5,53.9,1020.1,80.2,5.2,39.1,3.4,2,,2025-02-16T07:57:29,2025-02-16T18:06:57,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,59580003,F2929,62516002,59606004,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-17,39.1,26.8,32.5,33,19.3,25.9,25.1,74.8,0,0,0,,0,0,15.7,9.9,54,1022.4,40.9,6,102.3,8.8,5,,2025-02-17T07:55:35,2025-02-17T18:08:43,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-18,41.2,28.2,33.5,34.3,21.3,26.8,25.2,72,0,0,0,,0,0,19.7,13.7,70.8,1021.9,41,5.9,102.1,8.7,4,,2025-02-18T07:53:40,2025-02-18T18:10:28,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-19,46.2,28.7,36.9,40.9,20.8,30.6,29.3,74,0,0,0,,0,0,20.6,12.5,125.7,1019.2,58.4,5.5,85.5,7.3,4,,2025-02-19T07:51:44,2025-02-19T18:12:13,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,59580003,F2929,62516002,59606004,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-20,54.1,37.7,47.2,54.1,31.9,44.8,44.5,90.4,0,0,0,,0,0,25.3,16,170.9,1019.8,74.7,6.4,37.5,3.3,2,,2025-02-20T07:49:46,2025-02-20T18:13:58,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06414099999,59580003,F2929,62516002,59606004,62298001,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-21,60.7,50.3,55.2,60.7,50.3,55.2,49.5,81.5,0.05,100,8.33,rain,0,0,31,17,158.1,1016.2,94.2,7.7,67,5.7,4,,2025-02-21T07:47:48,2025-02-21T18:15:43,0.79,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06414099999,59580003,F2929,62516002,59606004,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-22,54.2,46.1,50.7,54.2,42,49.4,48,90.7,0.121,100,50,rain,0,0,22.2,14.5,191.7,1014.8,88.5,7.2,21.5,1.9,1,,2025-02-22T07:45:49,2025-02-22T18:17:27,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06414099999,59580003,F2929,62516002,59606004,62873001,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-23,57.6,39.5,48.8,57.6,35.8,47.3,43.3,82.8,0.004,100,4.17,rain,0,0,30.2,18,179.4,1025.5,64.5,8.2,104.4,9,5,,2025-02-23T07:43:48,2025-02-23T18:19:11,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
"Lille, Hauts-de-France, France",2025-02-24,53.8,44.9,51.4,53.8,41.1,50.7,45.3,79.9,0.018,100,20.83,rain,0,0,35.9,21.6,192.4,1016.9,79.5,14.8,29.5,2.4,1,,2025-02-24T07:41:47,2025-02-24T18:20:55,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06414099999,59580003,F2929,62516002,59606004,59343001,07015099999"
