description,start_date,end_date,zones
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone B
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone B
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone B
Vacances de la Toussaint,2019-10-18 22:00:00+00:00,2019-11-03 23:00:00+00:00,Zone B
Vacances de la Toussaint,2019-10-18 22:00:00+00:00,2019-11-03 23:00:00+00:00,Zone B
Vacances de la Toussaint,2019-10-18 22:00:00+00:00,2019-11-03 23:00:00+00:00,Zone B
Vacances de Noël,2019-12-20 23:00:00+00:00,2020-01-05 23:00:00+00:00,Zone B
Vacances de Noël,2019-12-20 23:00:00+00:00,2020-01-05 23:00:00+00:00,Zone B
Vacances d'Hiver,2020-02-14 23:00:00+00:00,2020-03-01 23:00:00+00:00,Zone B
Vacances d'Hiver,2020-02-14 23:00:00+00:00,2020-03-01 23:00:00+00:00,Zone B
Vacances d'Hiver,2020-02-14 23:00:00+00:00,2020-03-01 23:00:00+00:00,Zone B
Vacances d'Hiver,2020-02-14 23:00:00+00:00,2020-03-01 23:00:00+00:00,Zone B
Vacances d'Hiver,2020-02-14 23:00:00+00:00,2020-03-01 23:00:00+00:00,Zone B
Vacances de Printemps,2020-04-10 22:00:00+00:00,2020-04-26 22:00:00+00:00,Zone B
Pont de l'Ascension,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Zone B
Pont de l'Ascension,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Zone B
Pont de l'Ascension,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Zone B
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Zone B
Vacances d'Été,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Zone B
Vacances de la Toussaint,2020-10-16 22:00:00+00:00,2020-11-01 23:00:00+00:00,Zone B
Vacances de Noël,2020-12-18 23:00:00+00:00,2021-01-03 23:00:00+00:00,Zone B
Vacances d'Hiver,2021-02-19 23:00:00+00:00,2021-03-07 23:00:00+00:00,Zone B
Vacances d'Hiver,2021-02-19 23:00:00+00:00,2021-03-07 23:00:00+00:00,Zone B
Vacances de Printemps,2021-04-09 22:00:00+00:00,2021-04-25 22:00:00+00:00,Zone B
Pont de l'Ascension,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Zone B
Pont de l'Ascension,2021-05-12 22:00:00+00:00,2021-05-16 22:00:00+00:00,Zone B
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2021-07-05 22:00:00+00:00,2021-08-31 22:00:00+00:00,Zone B
Vacances de la Toussaint,2021-10-22 22:00:00+00:00,2021-11-07 23:00:00+00:00,Zone B
Vacances de la Toussaint,2021-10-22 22:00:00+00:00,2021-11-07 23:00:00+00:00,Zone B
Vacances de Noël,2021-12-17 23:00:00+00:00,2022-01-02 23:00:00+00:00,Zone B
Vacances d'Hiver,2022-02-04 23:00:00+00:00,2022-02-20 23:00:00+00:00,Zone B
Vacances de Printemps,2022-04-08 22:00:00+00:00,2022-04-24 22:00:00+00:00,Zone B
Vacances de Printemps,2022-04-08 22:00:00+00:00,2022-04-24 22:00:00+00:00,Zone B
Pont de l'Ascension,2022-05-25 22:00:00+00:00,2022-05-29 22:00:00+00:00,Zone B
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2022-07-06 22:00:00+00:00,2022-08-31 22:00:00+00:00,Zone B
Vacances de la Toussaint,2022-10-21 22:00:00+00:00,2022-11-06 23:00:00+00:00,Zone B
Vacances de la Toussaint,2022-10-21 22:00:00+00:00,2022-11-06 23:00:00+00:00,Zone B
Vacances de Noël,2022-12-16 23:00:00+00:00,2023-01-02 23:00:00+00:00,Zone B
Vacances de Noël,2022-12-16 23:00:00+00:00,2023-01-02 23:00:00+00:00,Zone B
Vacances de Noël,2022-12-16 23:00:00+00:00,2023-01-02 23:00:00+00:00,Zone B
Vacances d'Hiver,2023-02-10 23:00:00+00:00,2023-02-26 23:00:00+00:00,Zone B
Vacances d'Hiver,2023-02-10 23:00:00+00:00,2023-02-26 23:00:00+00:00,Zone B
Vacances de Printemps,2023-04-14 22:00:00+00:00,2023-05-01 22:00:00+00:00,Zone B
Vacances de Printemps,2023-04-14 22:00:00+00:00,2023-05-01 22:00:00+00:00,Zone B
Vacances de Printemps,2023-04-14 22:00:00+00:00,2023-05-01 22:00:00+00:00,Zone B
Vacances de Printemps,2023-04-14 22:00:00+00:00,2023-05-01 22:00:00+00:00,Zone B
Vacances de Printemps,2023-04-14 22:00:00+00:00,2023-05-01 22:00:00+00:00,Zone B
Vacances de Printemps,2023-04-14 22:00:00+00:00,2023-05-01 22:00:00+00:00,Zone B
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone B
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone B
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone B
Vacances d'Été,2023-07-07 22:00:00+00:00,2023-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2023-07-07 22:00:00+00:00,2023-08-31 22:00:00+00:00,Zone B
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone B
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone B
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone B
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone B
Vacances de Noël,2023-12-22 23:00:00+00:00,2024-01-07 23:00:00+00:00,Zone B
Vacances d'Hiver,2024-02-23 23:00:00+00:00,2024-03-10 23:00:00+00:00,Zone B
Vacances d'Hiver,2024-02-23 23:00:00+00:00,2024-03-10 23:00:00+00:00,Zone B
Vacances de Printemps,2024-04-19 22:00:00+00:00,2024-05-05 22:00:00+00:00,Zone B
Vacances de Printemps,2024-04-19 22:00:00+00:00,2024-05-05 22:00:00+00:00,Zone B
Pont de l'Ascension,2024-05-08 22:00:00+00:00,2024-05-12 22:00:00+00:00,Zone B
Vacances d'Été,2024-07-05 22:00:00+00:00,2024-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2024-07-05 22:00:00+00:00,2024-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2024-07-05 22:00:00+00:00,2024-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2024-07-05 22:00:00+00:00,2024-08-29 22:00:00+00:00,Zone B
Vacances d'Été,2024-07-05 22:00:00+00:00,2024-08-29 22:00:00+00:00,Zone B
Vacances d'Été,2024-07-05 22:00:00+00:00,2024-08-29 22:00:00+00:00,Zone B
Vacances de la Toussaint,2024-10-18 22:00:00+00:00,2024-11-03 23:00:00+00:00,Zone B
Vacances de la Toussaint,2024-10-18 22:00:00+00:00,2024-11-03 23:00:00+00:00,Zone B
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone B
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone B
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone B
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone B
Vacances d'Hiver,2025-02-07 23:00:00+00:00,2025-02-23 23:00:00+00:00,Zone B
Vacances d'Hiver,2025-02-07 23:00:00+00:00,2025-02-23 23:00:00+00:00,Zone B
Vacances d'Hiver,2025-02-07 23:00:00+00:00,2025-02-23 23:00:00+00:00,Zone B
Vacances de Printemps,2025-04-04 22:00:00+00:00,2025-04-21 22:00:00+00:00,Zone B
Vacances de Printemps,2025-04-04 22:00:00+00:00,2025-04-21 22:00:00+00:00,Zone B
Vacances de Printemps,2025-04-04 22:00:00+00:00,2025-04-21 22:00:00+00:00,Zone B
Pont de l'Ascension,2025-05-28 22:00:00+00:00,2025-06-01 22:00:00+00:00,Zone B
Pont de l'Ascension,2025-05-28 22:00:00+00:00,2025-06-01 22:00:00+00:00,Zone B
Pont de l'Ascension,2025-05-28 22:00:00+00:00,2025-06-01 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Zone B
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Zone B
