date,heure,nb_demandes,kWh,kWh_heure
2024-11-25,12,6,149.86666666666667,24.977777777777778
2024-11-25,14,4,149.86666666666667,16.651851851851852
2024-11-25,15,1,149.86666666666667,4.162962962962963
2024-11-25,17,2,149.86666666666667,8.325925925925926
2024-11-25,20,4,149.86666666666667,16.651851851851852
2024-11-26,5,6,149.86666666666667,24.977777777777778
2024-11-26,8,2,149.86666666666667,8.325925925925926
2024-11-26,11,2,149.86666666666667,8.325925925925926
2024-11-26,12,2,149.86666666666667,8.325925925925926
2024-11-26,14,5,149.86666666666667,20.814814814814817
2024-11-26,15,11,149.86666666666667,45.7925925925926
2024-11-26,16,1,149.86666666666667,4.162962962962963
2024-11-26,17,6,149.86666666666667,24.977777777777778
2024-11-26,18,1,149.86666666666667,4.162962962962963
2024-11-27,8,1,149.86666666666667,3.4060606060606062
2024-11-27,9,2,149.86666666666667,6.8121212121212125
2024-11-27,10,7,149.86666666666667,23.842424242424244
2024-11-27,11,4,149.86666666666667,13.624242424242425
2024-11-27,12,3,149.86666666666667,10.218181818181819
2024-11-27,13,1,149.86666666666667,3.4060606060606062
2024-11-27,14,7,149.86666666666667,23.842424242424244
2024-11-27,15,3,149.86666666666667,10.218181818181819
2024-11-27,16,7,149.86666666666667,23.842424242424244
2024-11-27,17,5,149.86666666666667,17.03030303030303
2024-11-27,19,4,149.86666666666667,13.624242424242425
2024-11-28,7,2,149.86666666666667,7.887719298245614
2024-11-28,8,4,149.86666666666667,15.775438596491227
2024-11-28,10,5,149.86666666666667,19.719298245614034
2024-11-28,11,16,149.86666666666667,63.10175438596491
2024-11-28,12,4,149.86666666666667,15.775438596491227
2024-11-28,13,3,149.86666666666667,11.83157894736842
2024-11-28,15,1,149.86666666666667,3.943859649122807
2024-11-28,16,2,149.86666666666667,7.887719298245614
2024-11-28,18,1,149.86666666666667,3.943859649122807
2024-11-29,8,2,149.86666666666667,5.655345911949685
2024-11-29,9,3,149.86666666666667,8.483018867924528
2024-11-29,10,3,149.86666666666667,8.483018867924528
2024-11-29,11,6,149.86666666666667,16.966037735849056
2024-11-29,12,1,149.86666666666667,2.8276729559748426
2024-11-29,13,3,149.86666666666667,8.483018867924528
2024-11-29,14,6,149.86666666666667,16.966037735849056
2024-11-29,16,2,149.86666666666667,5.655345911949685
2024-11-29,17,4,149.86666666666667,11.31069182389937
2024-11-29,18,13,149.86666666666667,36.75974842767296
2024-11-29,19,4,149.86666666666667,11.31069182389937
2024-11-29,20,1,149.86666666666667,2.8276729559748426
2024-11-29,21,3,149.86666666666667,8.483018867924528
2024-11-29,22,2,149.86666666666667,5.655345911949685
2024-11-30,6,2,149.86666666666667,3.943859649122807
2024-11-30,8,3,149.86666666666667,5.91578947368421
2024-11-30,9,1,149.86666666666667,1.9719298245614034
2024-11-30,10,5,149.86666666666667,9.859649122807017
2024-11-30,11,8,149.86666666666667,15.775438596491227
2024-11-30,12,13,149.86666666666667,25.635087719298248
2024-11-30,13,7,149.86666666666667,13.803508771929824
2024-11-30,14,11,149.86666666666667,21.69122807017544
2024-11-30,15,13,149.86666666666667,25.635087719298248
2024-11-30,16,7,149.86666666666667,13.803508771929824
2024-11-30,17,6,149.86666666666667,11.83157894736842
2024-12-01,7,2,103.61290322580645,1.817770232031692
2024-12-01,7,2,93.93548387096774,1.6479909451046972
2024-12-01,8,2,103.61290322580645,1.817770232031692
2024-12-01,8,2,93.93548387096774,1.6479909451046972
2024-12-01,9,6,103.61290322580645,5.453310696095076
2024-12-01,9,6,93.93548387096774,4.943972835314091
2024-12-01,10,6,103.61290322580645,5.453310696095076
2024-12-01,10,6,93.93548387096774,4.943972835314091
2024-12-01,11,3,103.61290322580645,2.726655348047538
2024-12-01,11,3,93.93548387096774,2.4719864176570456
2024-12-01,12,5,103.61290322580645,4.54442558007923
2024-12-01,12,5,93.93548387096774,4.119977362761743
2024-12-01,13,5,103.61290322580645,4.54442558007923
2024-12-01,13,5,93.93548387096774,4.119977362761743
2024-12-01,14,7,103.61290322580645,6.362195812110922
2024-12-01,14,7,93.93548387096774,5.76796830786644
2024-12-01,15,4,103.61290322580645,3.635540464063384
2024-12-01,15,4,93.93548387096774,3.2959818902093945
2024-12-01,16,8,103.61290322580645,7.271080928126768
2024-12-01,16,8,93.93548387096774,6.591963780418789
2024-12-01,17,4,103.61290322580645,3.635540464063384
2024-12-01,17,4,93.93548387096774,3.2959818902093945
2024-12-01,18,2,103.61290322580645,1.817770232031692
2024-12-01,18,2,93.93548387096774,1.6479909451046972
2024-12-01,20,1,103.61290322580645,0.908885116015846
2024-12-01,20,1,93.93548387096774,0.8239954725523486
2024-12-01,22,2,103.61290322580645,1.817770232031692
2024-12-01,22,2,93.93548387096774,1.6479909451046972
2024-12-02,9,2,103.61290322580645,4.709677419354839
2024-12-02,9,2,93.93548387096774,4.269794721407624
2024-12-02,10,5,103.61290322580645,11.774193548387096
2024-12-02,10,5,93.93548387096774,10.674486803519061
2024-12-02,11,6,103.61290322580645,14.129032258064514
2024-12-02,11,6,93.93548387096774,12.809384164222873
2024-12-02,12,2,103.61290322580645,4.709677419354839
2024-12-02,12,2,93.93548387096774,4.269794721407624
2024-12-02,13,2,103.61290322580645,4.709677419354839
2024-12-02,13,2,93.93548387096774,4.269794721407624
2024-12-02,14,1,103.61290322580645,2.3548387096774195
2024-12-02,14,1,93.93548387096774,2.134897360703812
2024-12-02,16,3,103.61290322580645,7.064516129032257
2024-12-02,16,3,93.93548387096774,6.404692082111437
2024-12-02,17,1,103.61290322580645,2.3548387096774195
2024-12-02,17,1,93.93548387096774,2.134897360703812
2024-12-03,5,2,103.61290322580645,2.878136200716846
2024-12-03,5,2,93.93548387096774,2.6093189964157704
2024-12-03,8,2,103.61290322580645,2.878136200716846
2024-12-03,8,2,93.93548387096774,2.6093189964157704
2024-12-03,10,6,103.61290322580645,8.634408602150536
2024-12-03,10,6,93.93548387096774,7.827956989247312
2024-12-03,11,5,103.61290322580645,7.195340501792114
2024-12-03,11,5,93.93548387096774,6.523297491039427
2024-12-03,12,1,103.61290322580645,1.439068100358423
2024-12-03,12,1,93.93548387096774,1.3046594982078852
2024-12-03,13,4,103.61290322580645,5.756272401433692
2024-12-03,13,4,93.93548387096774,5.218637992831541
2024-12-03,14,1,103.61290322580645,1.439068100358423
2024-12-03,14,1,93.93548387096774,1.3046594982078852
2024-12-03,15,3,103.61290322580645,4.317204301075268
2024-12-03,15,3,93.93548387096774,3.913978494623656
2024-12-03,16,5,103.61290322580645,7.195340501792114
2024-12-03,16,5,93.93548387096774,6.523297491039427
2024-12-03,17,7,103.61290322580645,10.07347670250896
2024-12-03,17,7,93.93548387096774,9.132616487455197
2024-12-04,6,1,103.61290322580645,1.6711758584807492
2024-12-04,6,1,93.93548387096774,1.5150884495317378
2024-12-04,8,1,103.61290322580645,1.6711758584807492
2024-12-04,8,1,93.93548387096774,1.5150884495317378
2024-12-04,9,2,103.61290322580645,3.3423517169614985
2024-12-04,9,2,93.93548387096774,3.0301768990634756
2024-12-04,10,5,103.61290322580645,8.355879292403745
2024-12-04,10,5,93.93548387096774,7.575442247658689
2024-12-04,11,3,103.61290322580645,5.0135275754422475
2024-12-04,11,3,93.93548387096774,4.545265348595214
2024-12-04,13,1,103.61290322580645,1.6711758584807492
2024-12-04,13,1,93.93548387096774,1.5150884495317378
2024-12-04,14,5,103.61290322580645,8.355879292403745
2024-12-04,14,5,93.93548387096774,7.575442247658689
2024-12-04,15,2,103.61290322580645,3.3423517169614985
2024-12-04,15,2,93.93548387096774,3.0301768990634756
2024-12-04,16,3,103.61290322580645,5.0135275754422475
2024-12-04,16,3,93.93548387096774,4.545265348595214
2024-12-04,17,1,103.61290322580645,1.6711758584807492
2024-12-04,17,1,93.93548387096774,1.5150884495317378
2024-12-04,19,4,103.61290322580645,6.684703433922997
2024-12-04,19,4,93.93548387096774,6.060353798126951
2024-12-04,20,3,103.61290322580645,5.0135275754422475
2024-12-04,20,3,93.93548387096774,4.545265348595214
2024-12-05,6,2,103.61290322580645,2.5903225806451613
2024-12-05,6,2,93.93548387096774,2.3483870967741938
2024-12-05,10,2,103.61290322580645,2.5903225806451613
2024-12-05,10,2,93.93548387096774,2.3483870967741938
2024-12-05,11,3,103.61290322580645,3.8854838709677417
2024-12-05,11,3,93.93548387096774,3.52258064516129
2024-12-05,12,6,103.61290322580645,7.7709677419354835
2024-12-05,12,6,93.93548387096774,7.04516129032258
2024-12-05,13,7,103.61290322580645,9.066129032258063
2024-12-05,13,7,93.93548387096774,8.219354838709677
2024-12-05,14,2,103.61290322580645,2.5903225806451613
2024-12-05,14,2,93.93548387096774,2.3483870967741938
2024-12-05,15,5,103.61290322580645,6.475806451612903
2024-12-05,15,5,93.93548387096774,5.870967741935484
2024-12-05,17,3,103.61290322580645,3.8854838709677417
2024-12-05,17,3,93.93548387096774,3.52258064516129
2024-12-05,18,9,103.61290322580645,11.656451612903226
2024-12-05,18,9,93.93548387096774,10.567741935483872
2024-12-05,19,1,103.61290322580645,1.2951612903225806
2024-12-05,19,1,93.93548387096774,1.1741935483870969
2024-12-06,8,2,103.61290322580645,2.3548387096774195
2024-12-06,8,2,93.93548387096774,2.134897360703812
2024-12-06,9,1,103.61290322580645,1.1774193548387097
2024-12-06,9,1,93.93548387096774,1.067448680351906
2024-12-06,10,6,103.61290322580645,7.064516129032257
2024-12-06,10,6,93.93548387096774,6.404692082111437
2024-12-06,11,3,103.61290322580645,3.5322580645161286
2024-12-06,11,3,93.93548387096774,3.2023460410557183
2024-12-06,12,2,103.61290322580645,2.3548387096774195
2024-12-06,12,2,93.93548387096774,2.134897360703812
2024-12-06,13,6,103.61290322580645,7.064516129032257
2024-12-06,13,6,93.93548387096774,6.404692082111437
2024-12-06,14,2,103.61290322580645,2.3548387096774195
2024-12-06,14,2,93.93548387096774,2.134897360703812
2024-12-06,15,8,103.61290322580645,9.419354838709678
2024-12-06,15,8,93.93548387096774,8.539589442815249
2024-12-06,16,4,103.61290322580645,4.709677419354839
2024-12-06,16,4,93.93548387096774,4.269794721407624
2024-12-06,17,2,103.61290322580645,2.3548387096774195
2024-12-06,17,2,93.93548387096774,2.134897360703812
2024-12-06,18,3,103.61290322580645,3.5322580645161286
2024-12-06,18,3,93.93548387096774,3.2023460410557183
2024-12-06,19,2,103.61290322580645,2.3548387096774195
2024-12-06,19,2,93.93548387096774,2.134897360703812
2024-12-06,20,1,103.61290322580645,1.1774193548387097
2024-12-06,20,1,93.93548387096774,1.067448680351906
2024-12-06,21,2,103.61290322580645,2.3548387096774195
2024-12-06,21,2,93.93548387096774,2.134897360703812
2024-12-07,6,2,103.61290322580645,1.7268817204301075
2024-12-07,6,2,93.93548387096774,1.5655913978494624
2024-12-07,8,4,103.61290322580645,3.453763440860215
2024-12-07,8,4,93.93548387096774,3.131182795698925
2024-12-07,9,2,103.61290322580645,1.7268817204301075
2024-12-07,9,2,93.93548387096774,1.5655913978494624
2024-12-07,10,1,103.61290322580645,0.8634408602150537
2024-12-07,10,1,93.93548387096774,0.7827956989247312
2024-12-07,11,5,103.61290322580645,4.317204301075268
2024-12-07,11,5,93.93548387096774,3.913978494623656
2024-12-07,12,2,103.61290322580645,1.7268817204301075
2024-12-07,12,2,93.93548387096774,1.5655913978494624
2024-12-07,13,5,103.61290322580645,4.317204301075268
2024-12-07,13,5,93.93548387096774,3.913978494623656
2024-12-07,14,10,103.61290322580645,8.634408602150536
2024-12-07,14,10,93.93548387096774,7.827956989247312
2024-12-07,15,7,103.61290322580645,6.044086021505376
2024-12-07,15,7,93.93548387096774,5.479569892473118
2024-12-07,16,8,103.61290322580645,6.90752688172043
2024-12-07,16,8,93.93548387096774,6.26236559139785
2024-12-07,17,4,103.61290322580645,3.453763440860215
2024-12-07,17,4,93.93548387096774,3.131182795698925
2024-12-07,18,4,103.61290322580645,3.453763440860215
2024-12-07,18,4,93.93548387096774,3.131182795698925
2024-12-07,19,1,103.61290322580645,0.8634408602150537
2024-12-07,19,1,93.93548387096774,0.7827956989247312
2024-12-07,20,5,103.61290322580645,4.317204301075268
2024-12-07,20,5,93.93548387096774,3.913978494623656
2024-12-08,7,3,103.61290322580645,4.317204301075268
2024-12-08,7,3,93.93548387096774,3.913978494623656
2024-12-08,9,3,103.61290322580645,4.317204301075268
2024-12-08,9,3,93.93548387096774,3.913978494623656
2024-12-08,10,3,103.61290322580645,4.317204301075268
2024-12-08,10,3,93.93548387096774,3.913978494623656
2024-12-08,11,5,103.61290322580645,7.195340501792114
2024-12-08,11,5,93.93548387096774,6.523297491039427
2024-12-08,12,3,103.61290322580645,4.317204301075268
2024-12-08,12,3,93.93548387096774,3.913978494623656
2024-12-08,13,2,103.61290322580645,2.878136200716846
2024-12-08,13,2,93.93548387096774,2.6093189964157704
2024-12-08,14,2,103.61290322580645,2.878136200716846
2024-12-08,14,2,93.93548387096774,2.6093189964157704
2024-12-08,16,1,103.61290322580645,1.439068100358423
2024-12-08,16,1,93.93548387096774,1.3046594982078852
2024-12-08,17,11,103.61290322580645,15.829749103942653
2024-12-08,17,11,93.93548387096774,14.35125448028674
2024-12-08,18,1,103.61290322580645,1.439068100358423
2024-12-08,18,1,93.93548387096774,1.3046594982078852
2024-12-08,19,2,103.61290322580645,2.878136200716846
2024-12-08,19,2,93.93548387096774,2.6093189964157704
2024-12-09,8,1,103.61290322580645,2.158602150537634
2024-12-09,8,1,93.93548387096774,1.956989247311828
2024-12-09,10,2,103.61290322580645,4.317204301075268
2024-12-09,10,2,93.93548387096774,3.913978494623656
2024-12-09,11,7,103.61290322580645,15.110215053763442
2024-12-09,11,7,93.93548387096774,13.698924731182796
2024-12-09,15,8,103.61290322580645,17.268817204301072
2024-12-09,15,8,93.93548387096774,15.655913978494624
2024-12-09,16,3,103.61290322580645,6.475806451612903
2024-12-09,16,3,93.93548387096774,5.870967741935484
2024-12-09,17,1,103.61290322580645,2.158602150537634
2024-12-09,17,1,93.93548387096774,1.956989247311828
2024-12-09,19,2,103.61290322580645,4.317204301075268
2024-12-09,19,2,93.93548387096774,3.913978494623656
2024-12-10,8,6,103.61290322580645,7.7709677419354835
2024-12-10,8,6,93.93548387096774,7.04516129032258
2024-12-10,9,6,103.61290322580645,7.7709677419354835
2024-12-10,9,6,93.93548387096774,7.04516129032258
2024-12-10,10,3,103.61290322580645,3.8854838709677417
2024-12-10,10,3,93.93548387096774,3.52258064516129
2024-12-10,11,1,103.61290322580645,1.2951612903225806
2024-12-10,11,1,93.93548387096774,1.1741935483870969
2024-12-10,14,1,103.61290322580645,1.2951612903225806
2024-12-10,14,1,93.93548387096774,1.1741935483870969
2024-12-10,15,4,103.61290322580645,5.180645161290323
2024-12-10,15,4,93.93548387096774,4.6967741935483875
2024-12-10,16,6,103.61290322580645,7.7709677419354835
2024-12-10,16,6,93.93548387096774,7.04516129032258
2024-12-10,17,3,103.61290322580645,3.8854838709677417
2024-12-10,17,3,93.93548387096774,3.52258064516129
